[2022-12-27T21:26:50.229] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-27T21:26:51.500] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-27T21:26:52.040] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-27T21:26:52.207] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-27T21:26:52.383] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-27T21:26:52.577] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2022-12-28T20:55:17.170] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:29.652] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:29.933] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.060] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.098] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.155] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.198] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.280] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.315] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.350] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.359] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:43:56.365] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:13.989] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:13.991] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:13.993] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:25.977] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:25.986] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:25.990] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.018] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.026] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.030] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.053] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.285] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:44:26.288] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:47.665] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.327] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.368] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.406] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.443] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.497] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.533] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.626] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.662] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:45:57.669] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:46:09.816] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:46:29.646] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
[2023-01-23T14:46:29.648] [WARN] archivoWarn - Ruta: /, metodo: GET, INEXISTENTES
